Unnamed: 0,FBPost,Label,clean_comment,sentiment_score,sentiment_label
42,"How does the kindle having an ""OPTION"" to download and play games on it ruin the experience of your Kindle? Complaining about it doesnt make any sense.",N,kindl option download play game ruin experi kindl complain doesnt make sens,0,Negative
43,Yes De ra you can get it on the iPad. I just bought it.,O,ye de ra get ipad bought,1,Positive
44,love playing games on my kindle.,P,love play game kindl,1,Positive
45,Love triple town too ,P,love tripl town,1,Positive
46,Some people just love to complain about everything. Like someone said if you dont want the games dont get them. Duh!!!!,P,peopl love complain everyth like someon said dont want game dont get duh,0,Negative
47,"um,how how do you play this on the kindle?",O,um play kindl,1,Positive
48,got it and it is so much fun and very addicting,P,got much fun addict,1,Positive
49,You can play it on the original. I just downloaded it for 99 cents,O,play origin download cent,1,Positive
50,Its harder to play because you dont have color. Just pretend ,N,harder play dont color pretend,0,Negative
51,"Some people may want games on their Kindle,thats fine, but i prefer to use my Kindle as a EReader.   Love My Kindle !!!!",P,peopl may want game kindl that fine prefer use kindl eread love kindl,1,Positive
52,I dont have color on my kindle..maybe I will wait for others to say how they like it.,P,dont color kindl mayb wait other say like,1,Positive
53,OK I bit,O,ok bit,1,Positive
54,kindle just 4 months old and went kaput!  wont turn on,O,kindl month old went kaput wont turn,0,Negative
55,Call customer service and they will replace it immediately no questions asked.,O,call custom servic replac immedi question ask,1,Positive
56,LOVE my Kindle....reading and I play Scrabble...love this thing:),P,love kindl read play scrabbl love thing,1,Positive
57,@Fitzwater Gale - No one has color on their Kindle.,O,fitzwat gale one color kindl,1,Positive
58,Sure do LOVE my KINDLE!,P,sure love kindl,1,Positive
59,I love my Kindle!!!,P,love kindl,1,Positive
60,Best present ever... and I didnt even ask for one! My Mum knows me so well! <3,P,best present ever didnt even ask one mum know well,0,Negative
61,love my new 3G kindle too!!,P,love new g kindl,1,Positive
62,me too!  I love my kindle!,P,love kindl,1,Positive
63,old school kindle 4 life,O,old school kindl life,0,Negative
64,My kindle is one of my most prized possessions,O,kindl one prize possess,0,Negative
65,:)),P,,1,Positive
66,My Beloved,P,belov,0,Negative
67,"I got one for my birthday and I just <3 it!!!! Its awesome, I can put all my books into it....btw, does anyone know how to get books onto your Kindle that you have previously bought in paper??????",P,got one birthday awesom put book btw anyon know get book onto kindl previous bought paper,1,Positive
68,"I love my favorite thing, my Kindle",P,love favorit thing kindl,1,Positive
69,"LOVE, LOVE my Kindle. It is so easy and convenient to take with me everywhere.  â¥",P,love love kindl easi conveni take everywher,1,Positive
70,my husband bought me one i use it daily it is awesome words can say it,P,husband bought one use daili awesom word say,1,Positive
71,I love my kindle!,P,love kindl,1,Positive
72,Love my kindle too!,P,love kindl,1,Positive
73,Just wish I had more time to read for pleasure..not just for school,O,wish time read pleasur school,1,Positive
74,i think you have the beginning to a great country song!,P,think begin great countri song,1,Positive
75,Each day I like my Kindle more than the day before.   I am a total fan.,P,day like kindl day total fan,1,Positive
76,Clara not all books can be gotten on kindle but you can check them out on Amazon.,O,clara book gotten kindl check amazon,1,Positive
77,No loosing my bookmarks again !! My kindles the only thing i allow In my bed at night :) !!,P,loos bookmark kindl thing allow bed night,0,Negative
78,I stay up reading now til my eyes just wont stay open! <3 my kindle!,O,stay read til eye wont stay open kindl,0,Negative
79,"@Cara Bolton. Unfortunately, you have to re-purchase them, which I just did yesterday with three books. I figure, its worth the investment. :)",P,cara bolton unfortun purchas yesterday three book figur worth invest,0,Negative
80,"I love every minute I spend with my new friend, MY Kindle.  I read myself to sleep every night.  Love the beautiful red leather lighted cover!  I NEVER leave home w/o it!",P,love everi minut spend new friend kindl read sleep everi night love beauti red leather light cover never leav home w,1,Positive
81,"If it werent for all the typ0s, spelling errors, missingspaces and stuff in every single book (no matter what price) my Kindle would be the best thing ever!!",P,werent typ spell error missingspac stuff everi singl book matter price kindl would best thing ever,0,Negative
82,would love a program to allow us to sell back read books and or games for a kindle credit. how about it!,P,would love program allow us sell back read book game kindl credit,0,Negative
83,would love a program to allow us to sell back read books and or games for a kindle credit. how about it!,P,would love program allow us sell back read book game kindl credit,0,Negative
84,"Just dropped my quality medical mystery to 99 cents for kindle just to show that price has nothing to do with quality writing. Title is Floaters, not to be confused with Joe Konraths or Joe Waumgauhs Floaters.",N,drop qualiti medic mysteri cent kindl show price noth qualiti write titl floater confus joe konrath joe waumgauh floater,0,Negative
85,iPad + Kindle app = AWESOME!,P,ipad kindl app awesom,1,Positive
86,"I really like the Kindle. Difficult to write sentences and use some word games due to the tiny letters. Overall, the Kindle is wonderful.",O,realli like kindl difficult write sentenc use word game due tini letter overal kindl wonder,0,Negative
87,i love mine enough to marry the dam thing,P,love mine enough marri dam thing,0,Negative
88,"Some day I may have one then I would be more than happy to think or even compose a ""song""....till then...............whawha",P,day may one would happi think even compos song till whawha,1,Positive
89,Me too!!!  I love my Kindle!!!,P,love kindl,1,Positive
90,i love mine - thanks margie,P,love mine thank margi,1,Positive
91,just love it!!,P,love,1,Positive
92,Thanks @John Zaffino,O,thank john zaffino,1,Positive
93,I have loved my kindle ever since I first was given mine almost 2 yrs ago now :),P,love kindl ever sinc first given mine almost yr ago,0,Negative
94,love my kindle best thing invented,P,love kindl best thing invent,1,Positive
95,Love my Kindle! Best thing ever!!!,P,love kindl best thing ever,1,Positive
96,Agree with all the above - LOVE MY Kindle 3G!  :),P,agre love kindl g,1,Positive
97,I bought Kindles for 2 sisters who love to read. They were so excited. Shortly afterwards a friend bought me a Kindle. I now know what the rave is all about. I havent put it down. And getting books are easier than going to bookstores; and cheaper. Thx,P,bought kindl sister love read excit shortli afterward friend bought kindl know rave havent put get book easier go bookstor cheaper thx,1,Positive
98,Love my kindle !,P,love kindl,1,Positive
99,"I love, love, my Kindle...my only caveats....I miss the wonderful artwork on the covers of paperbacks..and photos in magazines..and I love to share my books with others, so I cant loan any to my young adult kids and friends..bummer..and how many can you archive? I like to re-read some of my books.",P,love love kindl caveat miss wonder artwork cover paperback photo magazin love share book other cant loan young adult kid friend bummer mani archiv like read book,0,Negative
100,I love my Kindle - it is a must have,P,love kindl must,1,Positive
101,I love love love my Kindle!!,P,love love love kindl,1,Positive
102,I love mine too.,P,love mine,1,Positive
103,I love my Kindle.  I have had it for several years.  I asked them at Staples how you go about upgrading my Kindle but they had no clue.,P,love kindl sever year ask stapl go upgrad kindl clue,1,Positive
104,"I want a Kindle soooo badly! Ive got in on my b-day ""want"" list :)",P,want kindl soooo badli ive got b day want list,0,Negative
105,This site is so helpful. I got my books into categories. I have to figure out how to highlight to check a word in the dictionary. ,P,site help got book categori figur highlight check word dictionari,1,Positive
106,"Kindles rule , they should have them in school , theyre so cool,lalala,A Kindle read is better than speed, lalala! Ok, Im guessing I fail as a songwriter! Ill stick to reading on my Kindle!",P,kindl rule school theyr cool lalala kindl read better speed lalala ok im guess fail songwrit ill stick read kindl,1,Positive
107,i bet theres a book to download for that...,O,bet there book download,1,Positive
108,Yesterday / When my Kindle seemed so far away ...,O,yesterday kindl seem far away,0,Negative
109,Suddenly / Waiting time is half of what it used to be,O,suddenli wait time half use,0,Negative
110,"I love my kindle also but I do have one problem. My favorite authors are John Saul, Robin Cook and Patricia Cornwell but I cant ever find them on the free list. :(",P,love kindl also one problem favorit author john saul robin cook patricia cornwel cant ever find free list,1,Positive
111,"Love, love, love, my Kindle!!",P,love love love kindl,1,Positive
112,Took my Kindle with me on our 10 day cruise Awesome!!!!,P,took kindl day cruis awesom,1,Positive
113,"I have a Kindle. Dont you want one too?If you get a kindle, Ill share my books with you!",O,kindl dont want one get kindl ill share book,0,Negative
114,I love my kindle thanks honey,P,love kindl thank honey,1,Positive
115,My husband tells me that my Kindle is my true love!,P,husband tell kindl true love,1,Positive
116,Best present i ever got was my kindle!! the battery lasts for months!!,P,best present ever got kindl batteri last month,0,Negative
117,"I lovingly refer to my Kindle as my ""Crackle"" because its so addictive!",O,lovingli refer kindl crackl addict,1,Positive
118,@Cara if you have the time and dont want to pay the extra you can scan your all books into caliber (an open format program) and convert them into mobi files. Is really better to just repurchase (since it is faster) but for short stuFf and college papers.  I love scanning them and converting the file.  You must scanned in as a PDF the use caliber for the conversion.,P,cara time dont want pay extra scan book calib open format program convert mobi file realli better repurchas sinc faster short stuff colleg paper love scan convert file must scan pdf use calib convers,0,Negative
119,One of the BEST gifts I have ever received.,P,one best gift ever receiv,1,Positive
120,"I love my little Kindle,My electronic book. Id rather have a KindleThan a S*ny or a N**k",P,love littl kindl electron book id rather kindl ny n k,1,Positive
121,not to many Men ?????????,O,mani men,1,Positive
122,I just ordered a waterproof cover! Yay!,O,order waterproof cover yay,1,Positive
123,"Got a kindle for my birthday from my wife and have read so much since. Great for waiting rooms at doctors offices, snatches of time just about anywhere. Very handy device. I Finally have something to look forward to at the beach this summer.",P,got kindl birthday wife read much sinc great wait room doctor offic snatch time anywher handi devic final someth look forward beach summer,1,Positive
124,"Anyone know what ""EVERY WORD"" is..and is it free?",O,anyon know everi word free,1,Positive
125,I downloaded some awesome freebooks today,P,download awesom freebook today,1,Positive
126,"Received mine for Christmas.. I have rediscovered reading.. Thank you Kindle, thank you Amazon. ",P,receiv mine christma rediscov read thank kindl thank amazon,1,Positive
127,"@Robert Walker, I just purchased your book and put the rest of the series on my wish list.  Love a good mystery!  Thanks.",P,robert walker purchas book put rest seri wish list love good mysteri thank,1,Positive
128,"If prices dont go back down, the love affair is OVER.",P,price dont go back love affair,0,Negative
129,Thank you!!!,P,thank,1,Positive
130,Best thing ever invented,P,best thing ever invent,1,Positive
131,"Rose, I downloaded Every Word onto my Kindle. It was free then, about 6 months ago. It is a fun wordgame, if you like word games. It gives you 6-7 letters per level and you try to make as many words as you can. They place the words that you have come up with in alphabetical order so you can see what you might be missing.  I like it.",P,rose download everi word onto kindl free month ago fun wordgam like word game give letter per level tri make mani word place word come alphabet order see might miss like,1,Positive
132,How about lending or access to the local library?,O,lend access local librari,0,Negative
133,How about lending or access to the local library?,O,lend access local librari,0,Negative
134,My favorite thing about my Kindle is that I can play Scrabble to my hearts content!,P,favorit thing kindl play scrabbl heart content,1,Positive
135,Your funny Joyce!,P,funni joyc,1,Positive
136,Ok Robert Walker send your book!,O,ok robert walker send book,1,Positive
137,Why can I not get Water for Elephants on my Kindle in Canada?????,O,get water eleph kindl canada,0,Negative
138,It is my strange addiction!  I cant put it down.,N,strang addict cant put,1,Positive
139,I love my kindle.  I take it with me so many places.  The best is having it with while shopping with my wife! So handy.,P,love kindl take mani place best shop wife handi,1,Positive
140,"I read and read and read because of my Amazon Kindle, love love love it.",P,read read read amazon kindl love love love,1,Positive
141,Thank you robert walker,P,thank robert walker,1,Positive
142,"I should have signed Phyllis, the Kindle was a gift to Peter from our daughters for his birthday in Oct. I read the first book and havent stopped since. My husband said my wife perfers to go to bed with her Kindle instead of me he he. Phyllis",O,sign phylli kindl gift peter daughter birthday oct read first book havent stop sinc husband said wife perfer go bed kindl instead phylli,0,Negative
143,"Me too, me too! I LOVE mine, wouldnt want to read without it!",P,love mine wouldnt want read without,0,Negative
144,I just bought that book and 2 more of your books,O,bought book book,1,Positive
145,"Love mine so much I just bought another one for my husband so that I can have my own all to myself.  I use it for many, many things other than e-book reading, although it excels at that.",P,love mine much bought anoth one husband use mani mani thing e book read although excel,1,Positive
146,"I love my Kindle, and its not even one of the new ones!  Just love to read anything anywhere...",P,love kindl even one new one love read anyth anywher,1,Positive
147,"Love my Kindle, and am enjoying reading Alice in Wonderland with my Granddaughters",P,love kindl enjoy read alic wonderland granddaught,1,Positive
148,I know what took it so long?,O,know took long,0,Negative
149,Me too!,O,,1,Positive
150,Me too!,O,,1,Positive
151,I treasure my kindle it has brought me so much joy. The best thing ever..........,P,treasur kindl brought much joy best thing ever,1,Positive
152,"Library access, please and thank you!",P,librari access pleas thank,1,Positive
153,Love love love my kindle! It has made reading psych articles for dissertation much more convenient. I have also rediscovered that I like reading books for pleasure - who knew?,P,love love love kindl made read psych articl dissert much conveni also rediscov like read book pleasur knew,1,Positive
154,I do know how to do that!,O,know,1,Positive
155,Andy Angel I love your little jingle!,P,andi angel love littl jingl,1,Positive
156,"RoseI am so addicted to ""every word""! Love it!  It was free when I downloaded it!",P,rosei addict everi word love free download,1,Positive
157,Me and my Kindle strolling down the avenue =o),O,kindl stroll avenu,1,Positive
158,"song????  Only slightly plagarized.....Kindle, I think I love you, so what was I so afraid of, you only want to make me happy, so if you say, hey, go away I will, but I think better still I better stay around and love you.  do you think I have a case?  let me ask you to your face?  do you think you love me?  I THINK I LOVE YOU!",P,song slightli plagar kindl think love afraid want make happi say hey go away think better still better stay around love think case let ask face think love think love,1,Positive
159,"I was having a problem with my Kindle, where it kept freezing up on me. I mean every time I went to read, I had to defreeze it. I was starting to get worried - was I going to have to deal with this or did I have a defected Kindle. So I finally called for help again - I wanted to enjoy my reading time. I explained my problem, and sure enough, there was a problem - it was the type of cover I purchased, I guess it messes it up somehow. So they kindly refunded my purchase and I bought a different one and it was the best fix ever. I no longer have any problems - I truly love my Kindle.",P,problem kindl kept freez mean everi time went read defreez start get worri go deal defect kindl final call help want enjoy read time explain problem sure enough problem type cover purchas guess mess somehow kindli refund purchas bought differ one best fix ever longer problem truli love kindl,0,Negative
160,"My kindle was a late Christmas gift to myself. I truly believe is the greatest invention since peanut butter. Not overly complicated or overly pretentious. Sexy in its simplicity, elegant in its usefulness. I love my kindle",P,kindl late christma gift truli believ greatest invent sinc peanut butter overli complic overli pretenti sexi simplic eleg use love kindl,1,Positive
161,My kindle froze and when I rebooted everything in my archives was gone. Is that a problem from that last update? :(,N,kindl froze reboot everyth archiv gone problem last updat,0,Negative
162,I LOVE my Kindle!! Easy to read and take anywhere!! I have read some really great books lately! Right now reading Kelly Cutrones book! Love it!!,P,love kindl easi read take anywher read realli great book late right read kelli cutron book love,1,Positive
163,Love love my Kindle !!! Never never leave home without it. ,P,love love kindl never never leav home without,0,Negative
164,I like my kindle!!!!,P,like kindl,1,Positive
165,I <3 my Kindle! Thank u Santa!,P,kindl thank u santa,1,Positive
166,"I bought myself a kindle for Christmas . I bought 2 books, the other are free ones  and I have 41 books .   Love it",P,bought kindl christma bought book free one book love,1,Positive
167,"I love my kindle, the ability to change fonts, look up words in the dictionary, make notes and did I mention my favorite, text to speech for my 1 hour commute.  I dont have to put my book down, I just let it read to me.  I LOVE IT!!!!!",P,love kindl abil chang font look word dictionari make note mention favorit text speech hour commut dont put book let read love,1,Positive
168,"My Kindle is GREAT at the gym. Set the treadmill for one hour, turn on my Kindle and before I know it, times up! Its the best!",P,kindl great gym set treadmil one hour turn kindl know time best,1,Positive
169,My Kindle was a Christmas gift from my daughters and their husbands. I LOVE it!!! I take it everywhere. Its so much easier to always have with me than a book. I have arthritis in my hands and the Kindle does not hurt them when I hold it. I can lay it down to read and the pages dont flop open:) Im reading a greater variety of books and enjoy the Word Search game. Plan to get Scrabble soon. Its one of the best gifts Ive received!! I really appreciate the updates and instructions posted on fb.,P,kindl christma gift daughter husband love take everywher much easier alway book arthriti hand kindl hurt hold lay read page dont flop open im read greater varieti book enjoy word search game plan get scrabbl soon one best gift ive receiv realli appreci updat instruct post fb,1,Positive
170,Love my Kindle!! One of the best gifts Ive received!!!!!,P,love kindl one best gift ive receiv,1,Positive
171,I love my Kindle. Thank you Stephanie. BEST gift ever!!,P,love kindl thank stephani best gift ever,1,Positive
172,I never could have anticipated how much I would love my Kindle!,P,never could anticip much would love kindl,0,Negative
173,@Kathy..ty for the response..Ill look into it:),O,kathi ty respons ill look,1,Positive
174,"I love my Kindle so much, I snuggle with it every night.",P,love kindl much snuggl everi night,1,Positive
175,I have the 2nd generation but am thinking of getting the new one. Thoughts???,O,nd gener think get new one thought,1,Positive
176,"kindle in the waiting room at the docs office,kindle in the waiting room at the pharmacy, surrounded by nooks and kindles in waiting rooms these days. soooo convenient",P,kindl wait room doc offic kindl wait room pharmaci surround nook kindl wait room day soooo conveni,1,Positive
177,Im gonna gag. ,O,im gonna gag,0,Negative
178,"Id like to teach the world to read, the perfect work of words, and ..., ..., ..., .....",P,id like teach world read perfect work word,1,Positive
179,"After buying our first Kindle about a year ago, we now have three in the family. Definitely the way to go for those who enjoy reading. Save the forests, buy a Kindle!",P,buy first kindl year ago three famili definit way go enjoy read save forest buy kindl,1,Positive
180,I love my Kindle! Thanks Julie for giving it to me! My best ever gift!!!I love the free books that are available and I love the recommendations based on your book purchases! I take  my Kindle everywhere and I especially love it for traveling and holidays! Give a Kindle to someone you love or encourage a child to read more by giving them a Kindle! It will get them excited about reading!,P,love kindl thank juli give best ever gift love free book avail love recommend base book purchas take kindl everywher especi love travel holiday give kindl someon love encourag child read give kindl get excit read,1,Positive
181,l would so like to share the books ive purchased with my friends....,P,l would like share book ive purchas friend,1,Positive
182,How do you download and play games on Kindle? I didnt know you could do this!,O,download play game kindl didnt know could,0,Negative
183,can someone tell me.when you use the web...is it in color like the nook??,P,someon tell use web color like nook,1,Positive
184,louise - you buy them from the amazon store. Theyre currently only available in the us which leaves the rest of the world waiting,O,louis buy amazon store theyr current avail us leav rest world wait,0,Negative
185,No,O,,1,Positive
186,How do we lobby for cheaper ebooks? Saw new book advertised yesterday at train station for Â£3.49 in a shop and went to Kindle store and it was Â£9.99! Quite a difference......,P,lobbi cheaper ebook saw new book advertis yesterday train station shop went kindl store quit differ,1,Positive
187,I order this week and am SO excited. Spent weeks picking out my cover choices etc.,P,order week excit spent week pick cover choic etc,1,Positive
188,Well thats not fair! Come on Amazon - the rest of the world wants to play games too!,P,well that fair come amazon rest world want play game,0,Negative
189,:) I did write a song :) I love my kindle! Lol,P,write song love kindl lol,1,Positive
190,"My wife got me the Kindle dx for Valentines since I read a lot..I just love it, where ever I go it goes with me.I warp into another world as I start reading..n Kindle really doesnt get in the way!! Totally floored..:)",P,wife got kindl dx valentin sinc read lot love ever go goe warp anoth world start read n kindl realli doesnt get way total floor,0,Negative
191,One of our local schools in the County is looking into using Kindles in the classroom for every student! WOW! They say it would be cheaper than expensive Textbooks and could save money!,P,one local school counti look use kindl classroom everi student wow say would cheaper expens textbook could save money,0,Negative
192,"I carry my Kindly in my purse next to my cell phone.  Would not be without it.  It is the best gadget I ever owned (second to it is my Keurig coffee maker).  K and K, Kindle and coffee, what could be better.",P,carri kindli purs next cell phone would without best gadget ever own second keurig coffe maker k k kindl coffe could better,1,Positive
193,"Lets all try to persuade Kindle to allow us to download snooks from our local Libraries.   Your Library may not provide this facility now but it will, I believe, very soon.   Be prepared.   Meanwhile check out the Overdrive Media Console app.   With this you can access your Library and download snooks and audio books to your iPod touch/pad/phone etc.   I still prefer my Kindle so come on Kindle, be good to us!",P,let tri persuad kindl allow us download snook local librari librari may provid facil believ soon prepar meanwhil check overdr media consol app access librari download snook audio book ipod touch pad phone etc still prefer kindl come kindl good us,0,Negative
194,ebooks not snooks.,O,ebook snook,1,Positive
195,And then you could download it to your Kindle and listen to it!,O,could download kindl listen,1,Positive
196,I would love to love a Kindle but it needs to be library ebook friendly first :(,N,would love love kindl need librari ebook friendli first,1,Positive
197,"I like my Kindle but miss having a backlight so I can read in the dark. Also, I use my eyes all day at a computer so lately Ive been doing a lot more audio books on my smartphone.",N,like kindl miss backlight read dark also use eye day comput late ive lot audio book smartphon,0,Negative
198,I love my Kindle. I have the K2 but thinking about upgrading to the new model. .,P,love kindl k think upgrad new model,1,Positive
199,"I love it because the Kindle has made it easy for me to always have a book to read, and has allowed me to self-publish too!",P,love kindl made easi alway book read allow self publish,1,Positive
200,My kindles screen has disappeared actually only the top half. I miss it dearly> (,N,kindl screen disappear actual top half miss dearli,0,Negative
201,It happened right after the update>,O,happen right updat,0,Negative
202,Love my kindle! Big entertainment in a little package!!! Thanks!<3,P,love kindl big entertain littl packag thank,1,Positive
203,Read on my kindle. Thats what I do.,O,read kindl that,1,Positive
204,"I love my kindle.  Being full time RVers its a must, its the only way to travel and read without having books everywhere.  Anyone who travel in a motorhome knows there isnt  a whole lot of room for books.  My kindle is the best.",P,love kindl full time rver must way travel read without book everywher anyon travel motorhom know isnt whole lot room book kindl best,1,Positive
205,I love my Kindle but hope one day soon I can upgrade to a color version so I can download magazines in all their glory.  I also love all the games (some free and some very reasonably priced) that I can play when I am not reading.  I still buy a few paper books but the Kindle is so much easier to read in bed.,P,love kindl hope one day soon upgrad color version download magazin glori also love game free reason price play read still buy paper book kindl much easier read bed,1,Positive
206,Best thing since slice bread!!! LOL,P,best thing sinc slice bread lol,1,Positive
207,â« I love my Kindle...my only Kindle...it makes me happy... when skies are grey...I read more often... now that I have it...please dont take my Kindle away!... TaDa!,P,love kindl kindl make happi sky grey read often pleas dont take kindl away tada,1,Positive
208,Wherever I go my Kindle goes with mne..Im so happy my daughter introduced me to it.,P,wherev go kindl goe mne im happi daughter introduc,1,Positive
